secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
1.37,-0.050557,0.411259,2.777765,0.681687,0.618894,-0.390221,-0.128464,0.03882,0.280404,0.437888,-0.542828,-0.101129,0.709482,12.0,2.0,16.0,45DBP,33
1.38,0.012833,0.527485,2.676912,0.700231,0.60007,-0.386772,-0.154699,-0.019672,0.275505,0.428306,-0.545907,-0.092731,0.714101,12.0,2.0,16.0,45DBP,33
1.39,0.13056,0.592475,2.51912,0.717784,0.581308,-0.383233,-0.14352,0.005423,0.215402,0.419422,-0.54891,-0.084148,0.718124,12.0,2.0,16.0,45DBP,33
1.4,0.282707,0.603022,2.367628,0.73409,0.56277,-0.380003,-0.091527,0.110509,0.144056,0.411409,-0.551642,-0.075433,0.721626,12.0,2.0,16.0,45DBP,33
1.41,0.558037,0.581895,2.278986,0.749208,0.543969,-0.377869,-0.028322,0.226326,0.069016,0.404359,-0.553778,-0.066301,0.724864,12.0,2.0,16.0,45DBP,33
1.42,0.92875,0.57417,2.272722,0.763545,0.523951,-0.377457,0.023686,0.313115,0.018555,0.398331,-0.555086,-0.056133,0.728053,12.0,2.0,16.0,45DBP,33
1.43,1.254767,0.590869,2.322843,0.777553,0.502063,-0.378609,0.04897,0.35812,0.005745,0.393138,-0.555615,-0.044578,0.731264,12.0,2.0,16.0,45DBP,33
1.44,1.440985,0.624144,2.351129,0.791359,0.478484,-0.380532,0.046395,0.357591,0.018426,0.388449,-0.555624,-0.031876,0.73442,12.0,2.0,16.0,45DBP,33
1.45,1.421051,0.66854,2.316674,0.804754,0.454275,-0.382106,0.021372,0.325877,0.045268,0.38393,-0.555512,-0.018797,0.737327,12.0,2.0,16.0,45DBP,33
1.46,1.227525,0.724974,2.225988,0.817503,0.430672,-0.382375,-0.005141,0.267006,0.088704,0.379284,-0.555675,-0.006187,0.739818,12.0,2.0,16.0,45DBP,33
1.47,0.857536,0.782776,2.114367,0.829529,0.408715,-0.380571,-0.020096,0.196266,0.124925,0.37415,-0.556496,0.005197,0.74182,12.0,2.0,16.0,45DBP,33
1.48,0.384529,0.83329,1.988075,0.840803,0.389161,-0.376302,-0.019408,0.149337,0.128774,0.368224,-0.558239,0.014766,0.743345,12.0,2.0,16.0,45DBP,33
1.49,-0.10394,0.84432,1.829751,0.851229,0.372443,-0.369724,-0.006991,0.127236,0.119235,0.361427,-0.560933,0.022183,0.744468,12.0,2.0,16.0,45DBP,33
1.5,-0.533998,0.835952,1.65658,0.860703,0.35866,-0.361323,0.009964,0.133604,0.103053,0.353896,-0.564436,0.027402,0.745264,12.0,2.0,16.0,45DBP,33
1.51,-0.83364,0.827973,1.498659,0.869249,0.347491,-0.351647,0.021299,0.158551,0.086586,0.345916,-0.568535,0.030733,0.745765,12.0,2.0,16.0,45DBP,33
1.52,-0.97079,0.817724,1.364784,0.877024,0.338145,-0.341301,0.027135,0.195729,0.058922,0.33783,-0.57295,0.032824,0.746004,12.0,2.0,16.0,45DBP,33
1.53,-0.97388,0.814942,1.239447,0.884144,0.329942,-0.330798,0.033061,0.24356,0.023837,0.329995,-0.57743,0.034287,0.745991,12.0,2.0,16.0,45DBP,33
1.54,-0.872434,0.82273,1.117018,0.890664,0.322501,-0.320486,0.040855,0.293207,-0.014505,0.322751,-0.5818,0.035572,0.745704,12.0,2.0,16.0,45DBP,33
1.55,-0.713924,0.830703,1.003862,0.89666,0.315531,-0.310549,0.052497,0.331808,-0.047453,0.316327,-0.585965,0.037029,0.745125,12.0,2.0,16.0,45DBP,33
1.56,-0.58181,0.817116,0.907065,0.902173,0.308892,-0.301113,0.063342,0.344154,-0.070225,0.310705,-0.589867,0.038731,0.744325,12.0,2.0,16.0,45DBP,33
1.57,-0.528248,0.782194,0.828236,0.907217,0.302643,-0.292173,0.065485,0.330703,-0.084048,0.305682,-0.593526,0.040501,0.743401,12.0,2.0,16.0,45DBP,33
