secondsElapsed,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ,weight,set,reps,activity,activityEncoded
86.44,0.068366,0.045189,-0.052127,-0.739766,-0.546033,-0.393185,-0.019329,0.025098,0.009213,0.821964,0.245263,-0.493207,-0.144805,18.0,3.0,13.0,MTE,22
86.45,0.038081,0.007801,-0.048825,-0.739276,-0.546616,-0.393297,-0.010831,0.004547,4.7e-05,0.821987,0.245615,-0.492975,-0.144866,18.0,3.0,13.0,MTE,22
86.46,-0.037966,-0.021589,-0.054855,-0.738691,-0.5472,-0.393583,0.00572,-0.009394,-0.005603,0.822016,0.245809,-0.492734,-0.145192,18.0,3.0,13.0,MTE,22
86.47,-0.090716,-0.058709,-0.067435,-0.738161,-0.547847,-0.393676,0.020068,-0.017933,-0.010178,0.821932,0.24586,-0.492661,-0.145827,18.0,3.0,13.0,MTE,22
86.48,-0.108981,-0.05363,-0.07707,-0.737828,-0.548384,-0.393554,0.016484,-0.020433,-0.013047,0.82177,0.245797,-0.492754,-0.146531,18.0,3.0,13.0,MTE,22
86.49,-0.127463,-0.037908,-0.077599,-0.737686,-0.548386,-0.393817,0.008881,-0.003265,-0.012174,0.821738,0.245422,-0.492808,-0.147157,18.0,3.0,13.0,MTE,22
86.5,-0.087081,-0.028643,-0.082781,-0.737768,-0.548002,-0.394199,0.004782,0.00752,-0.000546,0.821769,0.244881,-0.492883,-0.147631,18.0,3.0,13.0,MTE,22
86.51,-0.019486,0.001516,-0.051201,-0.737909,-0.547638,-0.39444,0.006403,0.020661,0.035217,0.821803,0.244509,-0.492946,-0.147848,18.0,3.0,13.0,MTE,22
86.52,0.090302,0.017083,-0.055222,-0.737989,-0.547707,-0.394195,-0.005251,0.037255,0.026229,0.821741,0.244595,-0.493027,-0.14778,18.0,3.0,13.0,MTE,22
86.53,0.149538,0.035386,-0.055151,-0.737718,-0.548445,-0.393677,-0.013915,0.044798,0.012466,0.821614,0.245191,-0.492994,-0.147608,18.0,3.0,13.0,MTE,22
86.54,0.142479,0.037486,-0.055844,-0.737145,-0.549548,-0.393209,-0.0008,0.024112,0.003378,0.821498,0.246016,-0.49282,-0.147463,18.0,3.0,13.0,MTE,22
86.55,0.066472,-0.00118,-0.067094,-0.736455,-0.55067,-0.392933,0.024953,-0.009556,-0.005505,0.8214,0.24672,-0.492608,-0.14754,18.0,3.0,13.0,MTE,22
86.56,-0.031977,-0.033859,-0.079285,-0.735901,-0.551466,-0.392855,0.031372,-0.029207,-0.021314,0.821311,0.247035,-0.49249,-0.147902,18.0,3.0,13.0,MTE,22
86.57,-0.103909,-0.034868,-0.087652,-0.735518,-0.551782,-0.393128,0.018065,-0.028845,-0.02246,0.82129,0.2469,-0.492419,-0.148481,18.0,3.0,13.0,MTE,22
86.58,-0.147314,0.00317,-0.098876,-0.735116,-0.551855,-0.393776,-0.002692,-0.016687,-0.016289,0.821363,0.246537,-0.492272,-0.149168,18.0,3.0,13.0,MTE,22
